,scAGN_prediction,scAGN_precision_score,scAGN_recall_score,scAGN_f1_score,seurat_prediction,singleR_prediction,scmap-cluster_prediction,scmap-cell_prediction,chetah_prediction,Seurat_precision_score,Seurat_recall_score,Seurat_f1_score,SingleR_precision_score,SingleR_recall_score,SingleR_f1_score,Scmap-cluster_precision_score,Scmap-cluster_recall_score,Scmap-cluster_f1_score,Scmap-cell_precision_score,Scmap-cell_recall_score,Scmap-cell_f1_score,Chetah_precision_score,Chetah_recall_score,Chetah_f1_score
shalek_nasal_epithelia_covid19,0.8903756444880924,0.8891560597922483,0.8903756444880924,0.8893985019667882,0.883747,0.691873,0.285048,0.508225,0.528357,0.8891450278923885,0.8837466241099926,0.8839096526517186,0.7644836389767112,0.6918733120549964,0.6737913897014516,0.6410805787066479,0.7015105740181269,0.6228274635019866,0.8183663845669346,0.8253588516746412,0.775331868735704,0.7883629719853016,0.5283574760618709,0.6023605079003164
blish_pbmc_covid19,0.9098147982463988,0.9036812779984764,0.9098147982463988,0.904811246023972,0.900599,0.852018,0.118815,0.693388,0.623423,0.8922652404913977,0.9005994452894337,0.8922406384813947,0.8554569795605095,0.8520175360114521,0.849507544070463,0.9410855941886244,0.9378531073446328,0.9376092060170728,0.9206198152609494,0.938483894405425,0.9251108905234557,0.8865724112430777,0.6234231010110047,0.7091892437664623
aldinger_fetal_cerebellum,0.8605215983345863,0.8559094178279962,0.8605215983345863,0.8547406865272471,0.886602,0.612791,0.483143,0.637079,0.391141,0.8877812775851784,0.8866015150638987,0.8815939347267132,0.8658641495299566,0.6127913028392992,0.688689224175832,0.885822496147299,0.7572736336445209,0.7968258331149026,0.9205620900762339,0.9242449664429531,0.9171509471222222,0.7550321724436847,0.39114092407332446,0.47340928428944784
popescu19_fetal_liver,0.9093232767651372,0.9074645786619192,0.9093232767651372,0.9067958561221012,0.961073,0.90132,0.81542,0.752064,0.814037,0.9609972691432971,0.9610727006075843,0.9609231624538541,0.9145748714613559,0.9013199245757385,0.9038040382182345,0.8959036823046083,0.8771297214459569,0.8799371088376133,0.9471029587726325,0.9450294860994103,0.9411638455868582,0.9068006983917862,0.8140372931070605,0.8492164458587084
madissoon_oesophagus,0.9110383408377678,0.9031227100209812,0.9110383408377678,0.9058437846598764,0.946468,0.792286,0.665893,0.631919,0.737572,0.9466897127556234,0.9464683676718061,0.9459295469370106,0.8731008235167222,0.7922863510256061,0.8060010287328334,0.8547342076314397,0.7758465370144666,0.785602888536178,0.9260158502195536,0.916490765171504,0.9152135757472546,0.8739641615891467,0.7375722017555828,0.7908639364021461
vento_placenta_10X,0.8993167202572347,0.8983787587539972,0.8993167202572347,0.8975988889868937,0.919681,0.890943,0.735932,0.505091,0.811696,0.9201040113448292,0.9196811361200429,0.9186359811062277,0.9040617702495186,0.8909431939978564,0.8919650458219492,0.8816101243667531,0.8520241973010703,0.8575520382889098,0.9172365925215041,0.9066859066859067,0.9015068906999794,0.9091525926072648,0.8116961414790996,0.8543120274896607
martin_ileum,0.8385705483672212,0.8201544078108992,0.8385705483672212,0.8252119729882204,0.879236,0.848429,0.100801,0.367098,0.715958,0.8716899975063692,0.8792359827479975,0.8715276405394128,0.8379056624992439,0.8484288354898336,0.8368583666254666,0.805998735617442,0.808300395256917,0.7813363164833103,0.8239451853008323,0.8443877551020408,0.8121327085816121,0.7902551338154303,0.7159581022797289,0.7419313026806369
guo_testis,0.9638476436410588,0.964001510230462,0.9638476436410588,0.9637565196213128,0.959974,0.94448,0.918012,0.779212,0.864429,0.960835368919935,0.959974176888315,0.9594590610720102,0.9463845187130968,0.9444803098773402,0.9440913075105409,0.9332455720482654,0.9281984334203656,0.928424301066174,0.9696987239335441,0.9694779116465864,0.9692142123018814,0.9612635337142242,0.8644286636539703,0.9057988984985272
warner_salivery_gland,0.9544175576814856,0.9553376065790192,0.9544175576814856,0.9536636678853468,0.94879,0.918402,0.444007,0.738886,0.836241,0.9505151747727358,0.9487900956668542,0.9480994626019947,0.93421888432562,0.9184018007878447,0.9233166333289764,0.9062488044834545,0.727188940092166,0.7255580799162673,0.950840963486922,0.9583941605839416,0.9531919226355484,0.9314070871216389,0.8362408553742262,0.8766666819221849
madissoon_spleen,0.7899427116486314,0.7866550114386204,0.7899427116486314,0.7753289252146536,0.833312,,0.111818,0.263357,0.333503,0.8356500474022717,0.833312115425419,0.8283377119459636,,,,0.7486782559780847,0.68,0.6473506871670355,0.7649792404405467,0.7071558796718322,0.6523096167439403,0.8075221031245459,0.3335030765966476,0.423700267745503
miller_fetal_lung,0.9373098652759668,0.935084059161712,0.9373098652759668,0.9335756756793452,0.966102,,0.829531,0.422316,0.856258,0.966782423421206,0.9661016949152542,0.9658044002306753,,,,0.8849670989479079,0.8735697940503433,0.8759195735087378,0.9124073470885695,0.9109444574642606,0.8927905364355823,0.9406925232041253,0.85625814863103,0.8942810752033671
